	base	clouds	cod	coord	dt	id	main	name	rain	sys	visibility	weather	wind
454	stations	{'all': 36}	200	{'lon': 32.06, 'lat': -6.72}	1546712149	159134	{'temp': 67.7, 'pressure': 881.54, 'humidity': 93, 'temp_min': 67.7, 'temp_max': 67.7, 'sea_level': 1021.89, 'grnd_level': 881.54}	Inyonga	{'3h': 3.075}	{'message': 0.0028, 'country': 'TZ', 'sunrise': 1546659741, 'sunset': 1546704736}		[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]	{'speed': 2.26, 'deg': 222}
455	stations	{'all': 76}	200	{'lon': 41.76, 'lat': 50.41}	1546712150	522902	{'temp': 22.97, 'pressure': 1011.48, 'humidity': 88, 'temp_min': 22.97, 'temp_max': 22.97, 'sea_level': 1028.7, 'grnd_level': 1011.48}	Nekhayevskiy		{'message': 0.003, 'country': 'RU', 'sunrise': 1546665152, 'sunset': 1546694685}		[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]	{'speed': 8.86, 'deg': 246.5}
456	stations	{'all': 0}	200	{'lon': 129.6, 'lat': 44.58}	1546712150	2035715	{'temp': -7.82, 'pressure': 985.86, 'humidity': 61, 'temp_min': -7.82, 'temp_max': -7.82, 'sea_level': 1045.89, 'grnd_level': 985.86}	Mudanjiang		{'message': 0.0052, 'country': 'CN', 'sunrise': 1546642694, 'sunset': 1546674965}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]	{'speed': 4.16, 'deg': 273}
457	stations	{'all': 12}	200	{'lon': 80.68, 'lat': 7.35}	1546712150	1241622	{'temp': 64.37, 'pressure': 974.76, 'humidity': 92, 'temp_min': 64.37, 'temp_max': 64.37, 'sea_level': 1026.88, 'grnd_level': 974.76}	Wattegama		{'message': 0.0039, 'country': 'LK', 'sunrise': 1546649480, 'sunset': 1546691657}		[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]	{'speed': 4.72, 'deg': 41}
458	stations	{'all': 0}	200	{'lon': 38.2, 'lat': 10.45}	1546712151	342190	{'temp': 48.62, 'pressure': 830.96, 'humidity': 30, 'temp_min': 48.62, 'temp_max': 48.62, 'sea_level': 1025.5, 'grnd_level': 830.96}	Bichena		{'message': 0.0031, 'country': 'ET', 'sunrise': 1546659993, 'sunset': 1546701541}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]	{'speed': 2.15, 'deg': 94.5}
459	stations	{'all': 0}	200	{'lon': -40.06, 'lat': -19.38}	1546712151	3458498	{'temp': 93.53, 'pressure': 1012.53, 'humidity': 45, 'temp_min': 93.53, 'temp_max': 93.53, 'sea_level': 1025.38, 'grnd_level': 1012.53}	Linhares		{'message': 0.005, 'country': 'BR', 'sunrise': 1546675700, 'sunset': 1546723401}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]	{'speed': 11.21, 'deg': 38.5}
460	stations	{'all': 80}	200	{'lon': -101.35, 'lat': 51.23}	1546712152	6125862	{'temp': 20.36, 'pressure': 966.25, 'humidity': 90, 'temp_min': 20.36, 'temp_max': 20.36, 'sea_level': 1033.44, 'grnd_level': 966.25}	Roblin		{'message': 0.0043, 'country': 'CA', 'sunrise': 1546699718, 'sunset': 1546728834}		[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]	{'speed': 3.6, 'deg': 298.5}
461	stations	{'all': 64}	200	{'lon': 117.65, 'lat': 62.16}	1546712152	2015913	{'temp': -1.7, 'pressure': 1011.64, 'humidity': 58, 'temp_min': -1.7, 'temp_max': -1.7, 'sea_level': 1035.23, 'grnd_level': 1011.64}	Suntar		{'message': 0.0033, 'country': 'RU', 'sunrise': 1546651821, 'sunset': 1546671584}		[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]	{'speed': 7.18, 'deg': 249}
462	stations	{'all': 36}	200	{'lon': 78.7, 'lat': 67.47}	1546712152	1489853	{'temp': 4.07, 'pressure': 1022.66, 'humidity': 81, 'temp_min': 4.07, 'temp_max': 4.07, 'sea_level': 1026.43, 'grnd_level': 1022.66}	Tazovskiy		{'message': 0.0035, 'country': 'RU', 'sunrise': 1546667139, 'sunset': 1546674972}		[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]	{'speed': 24.52, 'deg': 250.5}
463	stations	{'all': 90}	200	{'lon': -2.32, 'lat': 53.42}	1546710600	2638678	{'temp': 43.52, 'pressure': 1037, 'humidity': 81, 'temp_min': 41, 'temp_max': 44.6}	Sale		{'type': 1, 'id': 1379, 'message': 0.099, 'country': 'GB', 'sunrise': 1546676616, 'sunset': 1546704388}	10000.0	[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]	{'speed': 4.7, 'deg': 240}
464	stations	{'all': 20}	200	{'lon': 139.49, 'lat': -20.73}	1546709400	2065594	{'temp': 77, 'pressure': 1008, 'humidity': 69, 'temp_min': 77, 'temp_max': 77}	Mount Isa		{'type': 1, 'id': 9495, 'message': 0.0037, 'country': 'AU', 'sunrise': 1546632431, 'sunset': 1546680459}	10000.0	[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]	{'speed': 1.12, 'deg': 80}
465	stations	{'all': 48}	200	{'lon': 29.47, 'lat': 0.49}	1546712153	219057	{'temp': 67.29, 'pressure': 913.56, 'humidity': 96, 'temp_min': 67.29, 'temp_max': 67.29, 'sea_level': 1022.62, 'grnd_level': 913.56}	Beni	{'3h': 3.215}	{'message': 0.0061, 'country': 'CD', 'sunrise': 1546661087, 'sunset': 1546704636}		[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]	{'speed': 2.15, 'deg': 170}
466	stations	{'all': 0}	200	{'lon': -58.74, 'lat': -38.55}	1546712153	3430443	{'temp': 84.62, 'pressure': 1016.02, 'humidity': 63, 'temp_min': 84.62, 'temp_max': 84.62, 'sea_level': 1021.53, 'grnd_level': 1016.02}	Necochea		{'message': 0.019, 'country': 'AR', 'sunrise': 1546677501, 'sunset': 1546730558}		[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]	{'speed': 16.8, 'deg': 323}
